Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
27,Bangalore,Residency Road,Prestige Delta,Reception Lobby,,,Digital Pods,3*7,55,1,,
28,Bangalore,CV Raman Nagar,Bagmane Tech Park,Food Court 1,"  35,000 ", N ,Digital Pods,3*7,55,1,12,"Volvo, Altiostar, Ivanti, Grant Thronton, Alstom, Mphasis, Texas Instrument, Kronos, Juniper, Boeing, Informatica, cisco, SAP concur, PWC, Renesas, Infineon, Microfocus, L3 Communication, Dover, ROHM, ALUK, Sima.ai, cypress, Talisma, Motorola, DELL, Pal Alto, Cardinal, Commvault, LAM,CEM, UKG, Walker Chandok, Nike, Etc"
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Food Court 2,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Food Court 3,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Food Court 4,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 1,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 2,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 3,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 4,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 5,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 6,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 7,,,Digital Pods,3*7,55,1,,
,Bangalore,CV Raman Nagar,Bagmane Tech Park,Reception Block 8,,,Digital Pods,3*7,55,1,,
29,Bangalore,ORR,Bagmane World Technology Centre,Onyx Food Court 1,"  50,000 ", N ,Digital Pods,3*7,55,1,11,"Google, Amazon , samusung, Accenture, Zyeus, Mphasis, visa, Ericsson, E&Y, Boeing, Xentrix, ARM, Mediakind, Iron Mountain, Microland, Quotient, Abinbev, sifive, EMC- Dell, Nvidia, Qsc, ETC"
,Bangalore,ORR,Bagmane World Technology Centre,Onyx Food Court 2,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Onyx Food Court 3,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Onyx Food Court 4,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Amber Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Citrine Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Garnet Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Emrald Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Paridot Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Opel Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane World Technology Centre,Aquamarine Block,,,Digital Pods,3*7,55,1,,
30,Bangalore,ORR,Bagmane Constellation ,Food Court 1,"  35,000 ", N ,Digital Pods,3*7,55,1,10,"Google, Amazon, samsung, Qualcom, Alstom, Mysis, Sapient, Archwel, E&Y, Boeing, Redhat, Etc"
,Bangalore,ORR,Bagmane Constellation ,Food Court 2,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Food Court 3,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Food Court 4,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Orion Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Carina East,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Virgo Block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Taurus south block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Taurus North block,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Constellation ,Food Court 5,,,Digital Pods,3*7,55,1,,
31,Bangalore,ORR,Bagmane Capital,Angkor West Block – Elevator Lobby,"  12,000 ", N ,Digital Pods,3*7,55,1,10,"Wayfair Global Technology Private Limited, Databricks India Pvt Ltd, Qualcomm , American Express, Amazon Development Centre, Microsoft , GSK Global Capability Centre, Bottomline, FAB Global Business Services, Feathertouch Daycare, "
,Bangalore,ORR,Bagmane Capital,Rome North Block – Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Luxor North Block – Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Luxor North Block – Reception,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Luxor South Block - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Luxor South Block - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Food Court 1,,,Digital Pods,3*7,55,1,,
,Bangalore,ORR,Bagmane Capital,Food Court 2,,,Digital Pods,3*7,55,1,,
